Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,"Pacific ave to 84th, west on 84th to Yakima ave. Head South on Yakima to 88th, turn right to K st.  Left on K to home on the right.  GPS friendly",Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,No,Yes,,0,"Double Pane/Storm Window, Dining Room, Fireplace, Water Heater",,0 sqft,,No,"$365,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"This adorable 3-bedroom, 1-bath starter home offers the perfect opportunity for first-time buyers or anyone looking for a cozy space with room to grow. Featuring a bright, open living room with origina","This adorable 3-bedroom, 1-bath starter home offers the perfect opportunity for first-time buyers or anyone looking for a cozy space with room to grow. Featuring a bright, open living room with original hardwood floors and plenty of natural light, this home is full of character. The spacious updated kitchen offers ample cabinet space, and the generous backyard provides endless possibilities for outdoor living and entertainment. Located in a quiet, established neighborhood, you're just minutes away from local parks, shopping, dining, and easy access to freeways for a quick commute. With a little personal touch, this home can easily become your perfect retreat. Don’t miss your chance to own a piece of Tacoma at an affordable price!",,utility room,,,,,0,,1,Single Family Residence,,,,,,Sewer Connected,,1,,Baseboard,"8828 S K Street
Tacoma, WA 98444",,,,,,1,"1,000 SQFT",,,"$4,203 ",Click here,,,"$365,000 ","1,000 sqft",Fern Hill,1968,Y,53 - South Tacoma,,0,0,,,,0,Square Feet,2025-09-22T11:05:22.704Z,,,1,"5,040 sqft",,,1 Baths,Electric,0,,"Closing, Negotiable",One,,,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,electric,1,,,Sold,,0.12 Acres,,,,,,0,,Public,No,No,"Level, Partial Slope",0,0,,,TPU,House,,,,Wood Burning,,"Ceramic Tile, Hardwood",Tacoma,,No,,Attached Garage,,,"Wood, Wood Products",,East,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2386829-8828-S-K-Street-Tacoma-WA-98444/,0.1157,1,1,$0 ,3,,"SOLD: AUG 22, 2025",,,Very Good,0,,,1,,0,"Block, Poured Concrete",No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved",,,47.176393,-122.4488756
,"South on Pacific ave from S 56th St. Left on S. 64th St., Right on A St, house on rt.",No,No,"Dishwashers, Dryers, Microwaves",,3,,No,Yes,,0,,,0 sqft,A,Yes,"$460,000 ",,,,1.5,,0,10 - 1 Story,,,Yes,Closed,0,,,,Rare chance to own a beautifully maintained midcentury home with all of its original charm!  Opens to a bright & sensible floorplan w/cozy fireplace & gleaming hardwood floors & white mill work throu,"Rare chance to own a beautifully maintained midcentury home with all of its original charm! Opens to a bright & sensible floorplan w/cozy fireplace & gleaming hardwood floors & white mill work throughout. Spacious kitchen opens to a sunny dining nook to take in the views of the charming, private courtyard. Features 3 generous bedrooms & completely remodeled bath w/new tile flooring & shower. Additional upgrades include new roof, furnace & replaced sewer line to street. Covered patio is prefect for enjoying the outside all year. Large detached 2 car garage w/ large shop space & private driveway offering ample parking including RV. Pre-inspected & ready to go!",,,,"Brick, Wood",,,0,No,2,,"Fenced-Partially, Gas Available, Outbuildings, Patio, RV Parking, Shop",Street,,"Hardwood, Wall to Wall Carpet, Second Primary Bedroom, Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room",,"Available, Sewer Connected",,1,,Forced Air,"6422 A Street
Tacoma, WA 98408",,,,FullyFenced,,2,"1,528 SQFT",,Buyer To Verify,"$4,375 ",Click here,,,"$460,000 ","1,528 sqft",Se Tacoma,1945,Y,60 - Southeast Tacoma,,0,0,,No,,0,Square Feet,2024-04-30T19:27:11.569Z,,,1,"7,750 sqft",,,1 / 1 Full / Half Baths,Natural Gas,0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s)",,,,,Territorial,,1,,2,,Garden Space,Sold,,0.18 Acres,Buyer To Verify,,,,,0,Forced Air,Public,No,No,Level,0,1,,,Tacoma Public Utilities,House,,,,Wood Burning,,"Hardwood, Vinyl, Carpet",Tacoma,,No,,"RV Parking, Driveway, Detached Garage, Off Street",,,,,,0,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2215895-6422-A-Street-Tacoma-WA-98408/,0.1779,,,,3,,"SOLD: APR 30, 2024",,,,0,,,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA",Yes,Pierce,"Paved, Sidewalk",,,47.1982944,-122.4316963
,"South on Pacific Ave, turn left on 159th St E (becomes 160th St E and then becomes Military Rd E).  Turn left on 19th Ave E.  Home is at the end of the cut de sac.",No,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,3,,No,Yes,,0,,,0 sqft,,No,"$535,000 ",,,,2,,0,10 - 1 Story,,Annually,Yes,Closed,0,,,,"This home as been beautifully redone inside and out. New landscaping with sprinkler system, fenced back yard, large patio. Great room concept with vaulted ceilings, new flooring. Updated Kitchen, new int","This home as been beautifully redone inside and out. New landscaping with sprinkler system, fenced back yard, large patio. Great room concept with vaulted ceilings, new flooring. Updated Kitchen, new interior paint. Primary bedroom with updated bathroom and walk in closet. 2 additional bedrooms with main bath.",,garage,,"Cement Planked, Wood",,Residential,0,No,2,,"Cable TV, Fenced-Fully, Gas Available, High Speed Internet, Patio, Sprinkler System",,,"Bath Off Primary, Double Pane/Storm Window, Sprinkler System, Vaulted Ceiling(s), Walk-In Closet(s), Wall to Wall Carpet, Water Heater",,Sewer Connected,,2,,Forced Air,"15802 19th Avenue E
Tacoma, WA 98445",,,,PartiallyFenced,,2,"1,938 SQFT",,,"$5,577 ",,,,"$535,000 ","1,938 sqft",Parkland,2008,Y,68 - Parkland,,0,0,Yes,,CCRs,0,Square Feet,2024-09-14T04:58:08.836Z,,,2,"5,458 sqft",,,2 Baths,Natural Gas,0,0 sqft,Closing,One,Residential,,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Natural Gas,2,,,Sold,,0.13 Acres,,,,,,0,,Public,No,No,Level,0,0,,,Spanaway Mutual Water,House,,,"Cash Out, Conventional, FHA, VA Loan",,,"Vinyl Plank, Carpet",Bethel,,No,,Attached Garage,Main,,,,South,325,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2265010-15802-19th-Avenue-E-Tacoma-WA-98445/,0.1253,0,,,3,,"SOLD: SEP 13, 2024",,,Very Good,0,,Traditional,2,,0,Poured Concrete,No,0,3 Beds,,No,Pierce,"Cul-De-Sac, Curbs, Paved, Sidewalk",,,47.1130719,-122.4033262
,"From Hwy 16, take S Jackson Exit to Bridgeport Way W. Turn West on S 12th Street toward the water. Go left on Fernside.  Home will be on the right.",Yes,No,"Dishwashers, Dryers, Microwaves, Refrigerators, StovesRanges, Washers",,3,,No,,,0,,,0 sqft,,Yes,"$1,278,500 ",,,,2.5,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Welcome to an elegant single-level home with striking SW views of Puget Sound, the Olympic mountain range & the Narrows Bridge. This sophisticated residence features a backyard designed for entertaini","Welcome to an elegant single-level home with striking SW views of Puget Sound, the Olympic mountain range & the Narrows Bridge. This sophisticated residence features a backyard designed for entertaining, set on a terraced 1/3-acre lot with an expansive patio off the dining room & plenty of room for you to create an extraordinary outdoor living space. Inside, the spacious home boasts engineered hardwood flooring, new carpets & fresh interior paint showcasing the intricate millwork, all blending harmoniously for a stunning presentation. The picturesque neighborhood, free from HOA restrictions, is located in a desirable booming area where Whole Foods, freeway access & Fircrest Golf Club are minutes away. Home sweet home awaits you!",,Laundry Room,,"Cement/Concrete, Stucco",,,0,No,0,,"Cable TV, Fenced-Fully, Gas Available, High Speed Internet, Patio, Sprinkler System",,,"Ceramic Tile, Wall to Wall Carpet, Bath Off Primary, Double Pane/Storm Window, Dining Room, High Tech Cabling, Skylight(s), Vaulted Ceiling(s), Fireplace, Water Heater",,Sewer Connected,R-1,2,,"90%+ High Efficiency, Forced Air, Heat Pump, Tankless Water Heater","1220 S Fernside Drive
Tacoma, WA 98465",,,,PartiallyFenced,,0,"3,146 SQFT",,Hunt,"$13,402 ",Click here,Narrowmoor 2nd Add,,"$1,278,500 ","3,146 sqft",Narrows,1948,Y,31 - West Tacoma,,0,0,,No,,0,Square Feet,2024-08-12T19:30:09.143Z,,,2,"16,006 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas, Wood",0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"Mountain(s), See Remarks, Sound",,1,Tankless,3,,Garden Space,Sold,,0.37 Acres,Foss,,,,,0,"90%+ High Efficiency, Forced Air, Heat Pump",Public,No,No,"Level, Rolling, Terraces",0,1,,,Tacoma,House,,,"Cash Out, Conventional, FHA, VA Loan",Wood Burning,,"Ceramic Tile, Engineered Hardwood, Vinyl, Carpet",Tacoma,,No,,Driveway,Main,,,,,0,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2265466-1220-S-Fernside-Drive-Tacoma-WA-98465/,0.3674,2,2,,3,,"SOLD: AUG 09, 2024",,,Very Good,0,,Northwest Contemporary,,,0,Slab,No,0,3 Beds,,Yes,Pierce,"Curbs, Paved",,,47.2488552,-122.5400091
,GPS accurate.,No,No,Dishwasher(s),,1,,No,Yes,,0,Water Heater,596 sqft,0 sqft,,No,"$298,597 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Charming updated bungalow in SE Tacoma! This 1 bed, 1 bath home offers 596 sq ft of bright, updated living space. New flooring and trim, fresh paint, and oversized windows that fill the space with light.","Charming updated bungalow in SE Tacoma! This 1 bed, 1 bath home offers 596 sq ft of bright, updated living space. New flooring and trim, fresh paint, and oversized windows that fill the space with light. The stylish kitchen features quartz counters, subway tile backsplash, adorable dining nook, and great storage. A modern vanity and matte black fixtures complete the bathroom update. Extremely low-maintenance yard. Convenient parking pad, off-street parking and basement/garage space that provides extra storage. Move-in ready and ideally located near shopping, schools, and commuter routes—this home is the perfect blend of charm and function!",,,,,,,0,,1,Single Family Residence,,,,,,Sewer Connected,,1,,Forced Air,"711 S 43rd Street
Tacoma, WA 98418",,,,,,1,596 SQFT,,Buyer To Verify,"$2,862 ",,,,"$298,597 ",596 sqft,Lincoln,1925,Y,59 - Southeast Tacoma,,0,0,,,,0,Square Feet,,,,1,"1,332 sqft",,,1 Baths,Electric,0,,Closing,One,,Whitman,Yes,,,,,Composition,,Dishwasher(s),,,,,,,0,Electric,1,,,Sold,,0.03 Acres,Lincoln High,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,,,Vinyl Plank,Tacoma,,No,,Attached Garage,Main,,Wood,,,No,2025,Residential,1,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2427725-711-S-43rd-Street-Tacoma-WA-98418/,0.0306,0,,$0 ,1,,"SOLD: JAN 30, 2026",,,,0,,,,,0,Poured Concrete,No,0,1 Beds,"Cash Out, Conventional",,Pierce,Paved,,,47.2185144,-122.4413564
,"From 38th & Pacific, head west on 38th, south on K Street, home on right.",No,No,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)","Daylight, Unfinished",3,,No,Yes,,0,,,0 sqft,,Yes,"$426,000 ",,,,1.75,,3,12 - 2 Story,,,Yes,Closed,0,,,,"Welcome to this spacious 2-story home offering 3 bedrooms, a versatile bonus loft, and 1.75 bathrooms. The open-concept design flows seamlessly through the large living areas, perfect for gatherings and","Welcome to this spacious 2-story home offering 3 bedrooms, a versatile bonus loft, and 1.75 bathrooms. The open-concept design flows seamlessly through the large living areas, perfect for gatherings and entertaining. The expansive kitchen features solid wood cabinets, new appliances, and plenty of room for culinary creations. A detached garage with an oversized shop provides excellent space for projects, storage, or hobbies. The basement offers ample storage or the potential for future expansion. Nestled on a property with several mature trees, this home provides a private and serene outdoor space, with a fenced backyard perfect for relaxing or entertaining. This is a must-see for those seeking comfort, space, and natural privacy!""",,Basement,,Wood,,,1,No,2,,"Fenced-Fully, Outbuildings, Patio, RV Parking, Shop",,,"Double Pane/Storm Window, Dining Room, Laminate, Loft, Wall to Wall Carpet, Water Heater",,Sewer Connected,TAC,1,,Forced Air,"3409 S K Street
Tacoma, WA 98418",,,,PartiallyFenced,,2,"1,400 SQFT",,,"$3,839 ",,,,"$426,000 ","1,664 sqft",Tacoma,1905,Y,50 - South Tacoma,,0,0,,,,0,Square Feet,2024-10-19T18:32:08.749Z,,,0,"5,000 sqft",,,2 Baths,Natural Gas,0,0 sqft,Closing,Two,Residential,,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Gas,2,,,Sold,,0.11 Acres,,,,,,0,Forced Air,Public,No,No,,1,0,,,,House,,,"Cash Out, Conventional, FHA, State Bond, VA Loan",,,"Laminate, Vinyl, Carpet",Tacoma,,No,,"Driveway, Detached Garage, Off Street, RV Parking",Main,,,,,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2290942-3409-S-K-Street-Tacoma-WA-98418/,0.1148,0,,$0 ,0,,"SOLD: OCT 18, 2024",,,,0,,,2,,1,Poured Concrete,No,0,3 Beds,,,Pierce,"Curbs, Paved, Sidewalk",,,47.2286201,-122.4473503
,Apple & Google Maps Take you directly to home.,No,No,"Dishwasher(s), Double Oven, Garbage Disposal, Refrigerator(s), Stove(s)/Range(s)",,4,,No,Yes,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Skylight(s), Walk-In Closet(s), Walk-In Pantry","2,776 sqft",0 sqft,,No,"$770,950 ",,,,2.75,,4,12 - 2 Story,,,Yes,Closed,0,,,,"Welcoming 4-Bedroom home in the Browns Point area of Tacoma. Comfort, space, craftsmanship, all situated in the peaceful, desirable neighborhood. A tremendously well-maintained 4-bed, 2.75-bath home offer","Welcoming 4-Bedroom home in the Browns Point area of Tacoma. Comfort, space, craftsmanship, all situated in the peaceful, desirable neighborhood. A tremendously well-maintained 4-bed, 2.75-bath home offers 2,776 sq ft of comfort and style. Master suite with walk-in closet and an open kitchen layout with a cooktop island, walk-in pantry, and quality appliances-ideal for daily living and entertaining. Continuously upgraded since 2007 including a brand new roof, exterior paint, and a beautiful yard surrounded by brand new fencing. Just minutes from Dash Point State Park, Browns Point Lighthouse, shopping, and easy access to beaches, trails, and nature. Don't miss this one of a kind home in one of Tacoma's most desirable neighborhoods.",,,,,,,1,,2,Single Family Residence,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Patio",,,,,Sewer Connected,,2,,Forced Air,"5610 Norpoint Way NE
Tacoma, WA 98422",,,,Fully Fenced,,2,"2,776 SQFT",,Meeker,"$3,678 ",,Dash Point Estates,,"$770,950 ","2,776 sqft",Dash Point,1987,Y,95 - Browns Point,,0,0,,,,0,Square Feet,2025-10-23T11:03:17.351Z,,,0,7770,,,3 Baths,Natural Gas,0,,Closing,Two,,Crescent Heights,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Double Oven, Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,3,,,Sold,,0.18 Acres,Stadium,2,,,,0,,Public,No,No,Level,1,0,,,Tacoma Public Utilities,House,,,,Wood Burning,,"Laminate, Carpet",Tacoma,,No,,"Driveway, Attached Garage, Off Street",Main,,Wood,,North,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2379997-5610-Norpoint-Way-Ne-Tacoma-WA-98422/,0.1784,0,,$0 ,0,,"SOLD: SEP 22, 2025",,,,0,,,2,,2,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Paved, Sidewalk",,,47.3111681,-122.4178717
,"From Port of Tacoma Rd turn right onto I-5. Right onto E 27th, left onto E Portland Ave., right onto E Harrison St. Home is on the left.",No,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Laminate, Water Heater",,0 sqft,,No,"$455,000 ",,,,2,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Step into this beautifully updated 3-bedroom, 2-bath home with partial views of Mt. Rainier, the Port of Tacoma and the Cascades! Renovations include a sleek new kitchen with quartz countertops, fresh f","Step into this beautifully updated 3-bedroom, 2-bath home with partial views of Mt. Rainier, the Port of Tacoma and the Cascades! Renovations include a sleek new kitchen with quartz countertops, fresh flooring, and upgraded bathrooms. The primary suite offers a walk-in closet and a private ensuite bath. Ideally situated near I-5 and Tacoma Dome Station, this location provides seamless access to downtown Tacoma, shopping, and the waterfront. Conveniently positioned at the end of the street and backing to a greenbelt, this home delivers both privacy and accessibility with fantastic territorial views. Enjoy gatherings in the fenced backyard—perfect for summer BBQs!",,Laundry Room on Main,,,,,0,No,2,Single Family Residence,"Cable TV, Deck, Fenced-Partially, High Speed Internet, RV Parking",,,,,Sewer Connected,,2,,,"1416 E Harrison Street
Tacoma, WA 98404",,,,,,2,"1,192 SQFT",,,"$4,009 ",,,,"$455,000 ","1,192 sqft",Tacoma,2009,Y,55 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-05-19T11:01:14.937Z,,,2,"6,509 sqft",,,2 Baths,Electric,0,0 sqft,Closing,One,,,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"City, Territorial",,0,Electric,2,,,Sold,,0.15 Acres,,,,,,0,,Public,No,No,Sloped,0,0,,,TPU,House,,,,,,"Laminate, Carpet",Tacoma,,No,,"Driveway, Attached Garage, RV Parking",Main,,Wood Products,,East,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2344028-1416-E-Harrison-Street-Tacoma-WA-98404/,0.1494,0,,$0 ,3,,"SOLD: APR 18, 2025",,,Very Good,0,,Traditional,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Dead End Street, Paved",,,47.230232,-122.4107139
,"GPS works great. Exit 135 off I-5, take Portland Ave E. to Right on E. 59th St.",Yes,No,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,4,,No,,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Fireplace, Fireplace (Primary Bedroom), Vaulted Ceiling(s), Water Heater",,0 sqft,,No,"$505,000 ",,,,1.5,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Outdoor Lovers Dream  Updated Home on a Spacious Lot! Home features 4 bedrooms, one and a half bathrooms on a dead-end street, within walking distance to Cushman Park with direct access to the Pipeline","Outdoor Lover’s Dream – Updated Home on a Spacious Lot! Home features 4 bedrooms, one and a half bathrooms on a dead-end street, within walking distance to Cushman Park with direct access to the Pipeline Trail leading straight to Owen’s Beach, and minutes to Swan Creek Mountain Bike Park – adventure is at your doorstep! Large living space for entertaining, a stylish kitchen with granite countertops, and a butcher block island. The home features a newer roof (2020), updated plumbing and electrical, and a fully fenced yard. This home truly combines comfort, style, and unbeatable location. Don’t miss it!",,Utility Closet,,,,,0,,2,Single Family Residence,"Cable TV, Fenced-Fully, High Speed Internet, Outbuildings, Patio, RV Parking",,,,,Sewer Connected,,1,,Forced Air,"1902 E 59th Street
Tacoma, WA 98404",,,,Fully Fenced,,2,"1,624 SQFT",,First Creek Mid,"$4,546 ",,,,"$505,000 ","1,624 sqft",East Tacoma,1965,Y,61 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-07-28T11:04:41.232Z,,,1,"9,000 sqft",,,1 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,"Closing, Negotiable, See Remarks",One,,Sheridan,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,1,Gas,2,,Garden Space,Sold,,0.21 Acres,Lincoln High,,,,,0,,Public,No,No,Level,0,1,,,TPU,House,,,,Electric,,"Ceramic Tile, Vinyl Plank, Carpet",Tacoma,,Yes,,"Attached Carport, Driveway, Off Street, RV Parking",Main,,Wood,,North,No,2025,Residential,4,,Tacoma,,75' x 120',https://www.premierepropertygroup.com/property/21-2380075-1902-E-59th-Street-Tacoma-WA-98404/,0.2066,1,1,$0 ,4,,"SOLD: JUN 27, 2025",,,Very Good,0,,,,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Corner Lot, Dead End Street, Paved, Sidewalk",,,47.2032357,-122.4039801
,"Bridgeport Way W to S Jackson Ave, Right onto S 12th St, left onto Pearl St, Right onto N 48th St to home on Left.",Yes,No,"Dishwasher(s), Double Oven, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,No,Yes,,0,"Bath Off Primary, Ceiling Fan(s), Dbl Pane/Storm Window, Fireplace, Hot Tub/Spa, Water Heater, Wired for Generator","1,448 sqft",0 sqft,,Yes,"$615,000 ",,,,1.75,,2,14 - Split Entry,,,Yes,Closed,0,,,,"Morning light filters through evergreens as you arrive at this beautifully maintained 4-bed, 2-bath home in Tacomas Point Defiance area. The open main level connects the bright living room, gas firepla","Morning light filters through evergreens as you arrive at this beautifully maintained 4-bed, 2-bath home in Tacoma’s Point Defiance area. The open main level connects the bright living room, gas fireplace, and kitchen with island and generous counter space. The primary suite offers a private retreat, while three additional bedrooms provide flexibility for guests, work, or play. Enjoy engineered hardwoods, tile, and modern finishes throughout. Step outside to relax on the deck or unwind in the hot tub after a day at the waterfront. With a 2-car garage, RV parking, and outbuildings for storage or hobbies, this home blends comfort and convenience—just minutes to Point Ruston, Point Defiance Park, the zoo, restaurants, and scenic trails.",,Garage,,,,,0,,2,Single Family Residence,"Cable TV, Deck, Fenced-Partially, High Speed Internet, Hot Tub/Spa, Outbuildings, RV Parking",,,,,Sewer Connected,,1,,"Ductless, Forced Air","5709 N 48th Street
Tacoma, WA 98407",,,,Partially Fenced,,2,"1,448 SQFT",,Truman,"$6,290 ",Click here,,,"$615,000 ","1,448 sqft",Point Defiance,1989,Y,13 - North Tacoma,,2,0,,,,0,Square Feet,,,,0,"6,000 sqft",,1,2 Baths,Electric,0,,Closing,Multi/Split,,Point Defiance,Yes,,,,,Composition,,"Dishwasher(s), Double Oven, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Electric,2,,,Sold,Yes,0.14 Acres,Silas High School,,,,,0,Ductless,Public,No,No,Level,1,0,,,Tacoma Public Utilities,House,,,,Gas,,"Ceramic Tile, Engineered Hardwood, Carpet",Tacoma,,No,,"Attached Garage, Off Street, RV Parking",Split,,"Wood, Wood Products",,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2435830-5709-N-48th-Street-Tacoma-WA-98407/,0.1377,1,,$0 ,0,,"SOLD: JAN 16, 2026",,,Good,0,,Traditional,,,1,Poured Concrete,No,1,4 Beds,"Cash, Conventional, FHA, VA Loan",,Pierce,"Alley, Paved",,,47.2932955,-122.5146673
